UserNick,comment_time,content,auctionSku
蓝***r,2020-04-05 09:47:46,等了40天的螺蛳粉， 果然没有让我失望，  买过他家藕粉也是很好吃，螺蛳粉更让我有小惊喜，腐竹超多，爱吃腐竹的人儿绝对爱到停不下，花生酥脆可口，酸笋脆脆的，满满一大碗，份量足，自己加了豆芽加黄瓜片，太好吃了。吃完喝几口汤。简直👍🏻。  包装品质：包装的很精致。 口感味道：绝对让你惊喜不断。,口味:螺蛳粉3袋装
d***0,2020-04-11 18:16:28,#柒家美拍达人#忍了很久，终于还是对螺狮粉下了手。听说李子柒家的螺狮粉不臭，适合第一次吃螺狮粉入手。李子柒家的包装都太用心了，老妈都夸包装好看。螺狮粉爽滑Q弹，酸笋一点也不臭，入股不亏，会回购！,口味:螺蛳粉3袋装
t***9,2020-04-13 23:40:17,第一次尝试网上购买螺蛳粉，果断选了柒家的，虽然下单到发货需要较长时间的等待，但是姐妹们相信我，你值得拥有，实在太好吃了！收到货迫不及待连吃了两袋，最后一袋还省吃俭用的才过第三天😂实在舍不得吃又太想吃，以至于晚上做梦都是梦到在煮螺蛳粉，一定要买它买它买它！,口味:螺蛳粉3袋装
b***机,2020-04-11 20:31:03,整体评价：好吃 包装品质：高大上 口感味道：鲜香酸爽，有点辣，自己再加了点食醋，刚刚好。,口味:螺蛳粉3袋装
小***r,2020-04-09 13:53:28,先说一下坐吃买螺蛳粉的经历坎坷，又带惊喜，首先我是3月8号下班一直等呀等呀，等等到了四月初我才收到货这个时间段跨越的，是我淘宝购物有史以来最长的期间，我也犹豫过要不要退掉，要不要重新下单，要不要再换一家，不过最后我还是坚定的选择了里氏七他没让我失望，味道和之前还是一样的好，而且要有很足令我惊喜的是这次漫长的等待竟然李子琪送了我一个特别漂亮的鼠标垫，这是我万万没有想到。这就是美食家惊喜吧。,口味:螺蛳粉3袋装
l***w,2020-04-05 00:25:21,整体评价：味道不错，量好足，一个人有点吃不完😂 胀包问题：没有问题 包装品质：包装很严实，设计也好看 口感味道：很合适，不会太咸或者太淡，辣椒油放多了一点，有点辣，可以根据自己喜好下，还标了刻度，炒鸡贴心～酸笋虽然臭臭的，但是真的真的好好次！,口味:螺蛳粉3袋装
蓝***泉,2020-04-03 13:27:51,包装品质：包装很好，精美 口感味道：非常好吃 新鲜度：很好 整体评价：物有所值  非常好 同事强烈推荐的品牌，说买螺蛳粉就一定要买李子柒，果然没有错，真的好吃，菜料包也多，花生还是脆的，总之还是很好的。 是会推荐给朋友呢一家店,口味:螺蛳粉3袋装
吴***1,2020-04-08 10:32:45,很大的一包，量蛮大的， 胃口比较小，一包煮起来，  可以2人吃哈，味道浓郁 ，不太会吃辣，只下了一半的 油，还是挺辣的，买少了，打算再买一点，很好吃 推荐推荐 吃起来超级满足，还送了鼠标垫，么么哒 日期非常新鲜,口味:螺蛳粉3袋装
h***2,2020-04-06 19:59:19,超棒的，各种料包足，米粉也正宗，把料包全部放下锅里煮，味道刚刚好，挺正宗的，确认过了是味蕾的享受呀呀呀！谢谢你们那么用心做一道美食。虽然等收货的时间长了一点，没别的毛病，吃得好还会继续回购的，偶尔给舌尖沾沾这么美味的东西。,口味:螺蛳粉3袋装
t***6,2020-04-05 10:09:30,早上煮了一包螺蛳粉，中间有些小插曲sorry啦，因为我倒了一包油所以有点偏辣，不太会吃辣的大盆友小盆友可以少放些哈，以下有我的制作视频和成品照片，我一个人还吃不完一包😂😂刚开始酸笋和菜包会有些臭臭的但是煮熟后味道就淡了，好吃😋绝对的好评,口味:螺蛳粉3袋装
嗨***2,2020-04-04 12:47:07,包装品质：精美 口感味道：偏甜，我还是更喜欢酸辣口感 整体评价：配料十足，酸笋没有那么臭，这点比较好，但是汤头偏甜，希望改善 新鲜度：日期新鲜,口味:螺蛳粉3袋装
t***3,2020-04-11 19:46:52,第一次买李子柒家的东西也是第一次吃螺蛳粉，之前看到评论很多说适合新手吃，因为不咋臭，煮的时候发现确实不咋臭哈哈哈还是可以接受的，辣包一般我都倒半包的，不然太辣了&hellip;&hellip;但是这个辣是真的挺好吃的，感觉量还挺大的？（因为粉会涨）好像味精放的有点多？吃完感觉口干狂喝水,口味:螺蛳粉3袋装
y***8,2020-04-02 13:30:20,#柒家美拍达人#因为疫情感觉等了一个世纪，终于等到你我的续命螺蛳粉！迫不及待的赶紧煮一碗安排上！嗯，还是原来的味道！料还是超级足！辣油包煮一下可以减少辣味哟！汤包放了三分之二煮！咸度刚好 包装品质：一如既往的精美 口感味道：粉质Q弹！按照包装上方法煮口感不会差！ 整体评价：料超多！分量也足！味道较其他牌子比较清单，我喜欢吃！ 胀包问题：买了很多次，没发现有这情况哦,口味:螺蛳粉3袋装
咣***咣,2020-04-05 19:13:17,包装品质：一大包，每包都有说明，煮法简单不会乱。 口感味道：味道应该是改良过的，属于大众口味，不会很辣。放了半包醋下去，吃出了回甜感觉，个人不是很喜欢。木耳有点碎，建议大块些哈哈哈。38女王节买的，20天发货还是挺满意的了。还送了鼠标垫？666,口味:螺蛳粉3袋装
t***8,2020-04-10 10:12:26,整体评价：炒鸡好吃的，比外面的螺狮粉店都好吃，料等了一个月才收到货也是很值的，太好吃了，料足，味道更足，而且还经常断货的。吃完还会来光顾的,口味:螺蛳粉3袋装
淼***心,2020-04-13 18:50:13,家里煮完臭臭的，吃起来香香的，有点回味，第二天继续吃，李子柒的微博关注3年了，每一个视频都和孩子看，真心不错😊,口味:螺蛳粉3袋装
e***e,2020-04-10 22:20:53,好大的一包啊，里面的料都独立包装，很干净，而且料特别足，按照包装上的烹饪办法成功出锅让人垂涎欲滴的螺蛳粉，吃了会上瘾，爱了~,口味:螺蛳粉3袋装
s***l,2020-04-12 21:03:24,真的是久等哦，久到我已经忘记我买了它，快递来的是一脸懵逼，母亲大人问我啥我居然回答不出，好在疫情期间关注的点不在这，然后因为最近好爱这东西，试过了别的牌子也想尝尝他家，毕竟有名气的网红，要试试，但是最近不能吃辣要晚些开直播了哈哈哈哈，等我哦，等我试过了来追评,口味:螺蛳粉3袋装
t***6,2020-04-12 18:32:57,#柒家美拍达人# 回购过很多次的产品了，超喜欢李子柒家螺蛳粉，闻着有淡淡的臭味，吃着非常香，而且料非常足，有木耳、豇豆和笋等等，搭配的很好，非常良心了！入手它！,口味:螺蛳粉3袋装
钟***6,2020-04-11 20:17:34,等了好久终于等到今天～终于吃到了传说中的李子柒螺丝粉！马上煮了一包，吃完才想起没拍照，下次补上。味道是那种浓香加上辣味完美的融合在一起，吃完很有满足感，食材新鲜，包装仔细，还有小礼物🎁，很开心。,口味:螺蛳粉3袋装
蒙***空,2020-04-09 17:37:47,子柒小姐姐太火了，我好喜欢这个有颜有艺的姐姐呀，螺蛳粉等了一个多月也值得。收到螺蛳粉当天就煮了一包，放了干豆腐丝、菠菜、腊肠&hellip;&hellip;煮了满满一锅，太好吃了，秒光呀,口味:螺蛳粉3袋装
d***1,2020-04-06 13:49:27,整体评价：到货好几天刚从店里拿回来，就赶紧煮了一包  真的调料丰富多多  感觉东西很好吃而且能吃的好饱  开心  喜欢😍 面非常有弹性好吃一下就爱上了买它集美👍👍,口味:螺蛳粉3袋装
g***o,2020-03-31 23:09:18,之前去旅游吃过一次螺狮粉以后，就一直喜欢吃螺狮粉，子柒家的螺狮粉的包装好精致啊，感觉像个大礼包，里面的食材都很新鲜，每个小包装都很简洁明了，按照说明煮了一包真的很好吃，因为在家不喜欢吃酸笋包，怕有味道就没有放，还是非常好吃的，汤的味道很好，粉条也很爽滑，螺狮粉是推荐呢，打算给妈妈买一份，让她尝试一下，十分推荐这个牌子，我觉得份量也够，一个人一份在家不知道吃什么的时候可以煮一份，下次打算放一个煎蛋一些青菜一起煮，多一些自己的创意，把喜欢的火腿，火锅丸子一起放一下，应该也可以的。,口味:螺蛳粉3袋装
卡***6,2020-04-08 18:36:43,#柒家美拍达人#已经买了好多次了，超爱李子柒家的螺蛳粉，这次又买了整整一箱。料有超多袋，还有我最爱的腐竹，每次吃螺蛳粉都是一种享受。,口味:螺蛳粉3袋装
t***6,2020-04-08 11:15:56,第一次是李子柒家的螺蛳粉，我可等了好久了。果然没有让我失望，太好吃了，我爱上了李子柒家的，下次只买她家了，尤其是那个酱料和别家不能比,口味:螺蛳粉3袋装
我***2,2020-04-10 10:39:12,整体评价：第一次吃螺蛳粉是点的外卖，真的太臭不好吃，当时刚订完螺蛳粉，后来还是想想等了这么久了还是试试吧，过了一些天，终于到了，本来没有报多大期望，但是我煮了一包之后，这真的太合我的口味了，真的巨好吃，巨香，立马又买了几包，每天都在念叨，请问能早点给我发货吗？一天不吃就难受,口味:螺蛳粉3袋装
淡***吖,2020-04-05 11:47:51,整体评价：太好吃了吧！！！以前第一次吃觉得超臭，再也没吃，后来朋友给我尝了子柒家的就觉得这臭味怎么也那么香！！所以我又来了！昨天刚到货，当晚就吃了一袋 现在还在吃！就剩一袋了。嘿嘿嘿 新鲜度：都是先做先发的，,口味:螺蛳粉3袋装
棉***丶,2020-04-02 17:16:49,第一次买柒家的螺蛳粉，还没有吃，应该挺不错的，原来吃过别家的，感觉将就，这次趁**节活动囤了一箱，多送了两包，价格还是挺实惠的。这次还送了一块鼠标垫，质量还可以，希望以后能够有更多的活动。,口味:螺蛳粉3袋装
x***i,2020-04-04 00:18:41,#柒家美拍达人#真是好饭不怕晚，太值得等了，包装精美，和李子柒的视频一样精美，味道真是绝了，欲罢不能，每次吃都充满了仪式感，爱了爱了！,口味:螺蛳粉3袋装
t***1,2020-04-10 12:58:23,虽然等了好几个月，但是吃到的时候真的真的满足了。不愧是我心心念念了好几个月 心甘情愿等这么久的螺蛳粉，嗦粉真的好快乐！！！,口味:螺蛳粉3袋装
定***世,2020-04-05 13:19:59,发货是真的慢呀，等了快一个月终于吃上了，吃过好多家的螺蛳粉李子柒家的这个算味道比较淡的，还是像好欢螺这样重口的比较适合我，不过3.8做活动买的也比较便宜，自己加了点菜味道也还可以,口味:螺蛳粉3袋装
h***1,2020-04-09 16:00:03,好大一包螺蛳粉，分量足，里面的配料也丰富，煮粉的话，可以随冷水下锅，大火煮开，煮开后中火继续煮几分钟，煮至粉发涨，就熟了。此时可以捞出来重新下一锅水煮开，放配料，放米粉，也可以不捞直接放配料煮一会。米粉有弹性，不易断，配料酸爽，夹着特有的臭臭味，非常正宗的广西螺蛳粉。,口味:螺蛳粉3袋装
c***7,2020-04-08 12:51:03,整体评价：很好！ 包装品质：装的很好，还送了鼠标垫 新鲜度：等了一个半月发货了，吃着很好。 口感味道：作为广西人，不得不说这是吃的最好吃的一款螺蛳粉了，相信我，买买买它！！,口味:螺蛳粉3袋装
培***8,2020-04-11 13:23:49,整体评价：特别特别好！ 胀包问题：没有胀包的，调料包都很新鲜 包装品质：包装各有特色，简直就是艺术品啊！ 口感味道：好极了好极了，最好吃的螺蛳粉 新鲜度：五星！ 期待了好久的李子柒螺蛳粉，终于新鲜出炉，新鲜送达，到货放了两天都没舍得吃，哈哈哈。粉很劲道，真的如包装袋上写的，清而不淡，辣而不火，油而不腻。老爸第一次吃螺蛳粉，吃完之后说明天还要吃。作为一个不辣不欢的我，辣油我没放完，留了一小半，辣味正好，花生，油炸腐竹，酸笋都很新鲜，好吃停不下来，把烫都喝干净了。,口味:螺蛳粉3袋装
陈***y,2020-04-02 11:27:37,整整等了二十多天 不负所望 味道非常好 包装精致 收到赶紧煮了一包 面的分量虽然不多但是味道是真的好,口味:螺蛳粉3袋装
a***黛,2020-04-01 10:37:51,包装品质：包装挺严实的，三大袋，还送了一个鼠标垫 口感味道：口感我个人感觉比较清淡，但是该有的味道还是很足的，粉吃起来口感也不错，腐竹花生等配料也很足 整体评价：值得购买，臭香臭香的的，又不是非常臭，总之那种臭刚刚好。等了一个月多了但是很值得，好后悔只买了一份，我应该让我们家人都买😂😂😂 新鲜度：挺新鲜的 胀包问题：无,口味:螺蛳粉3袋装
t***0,2020-04-11 17:22:54,整体评价：预售的，足足等了多久我也忘记了，腐竹挺多的，花生也脆脆的，好吃，酸笋不是很臭，但是吃完会发现厨房臭臭的😂 单独买的米粉，所以一包螺蛳粉另外加些米粉，两个人吃挺好的，孩子爹另点了一个鸭蛋.他第一次吃，一直说好吃，怎么不多买点😂 包装品质：包装弟弟很好，都挺整齐的，还送了一个鼠标垫  口感味道：放了半包油，辣辣的，索性把粉捞出来吃的，（不能吃辣） 新鲜度：预售的嘛，肯定很新鲜，日期都新的。,口味:螺蛳粉3袋装
同***丽,2020-04-13 08:24:27,味道不错，价格合适，我喜欢,口味:螺蛳粉3袋装
z***4,2020-04-03 14:16:13,预售等待了一个多月！我真是佩服自己！超大包份量很足！第一次购买还是被圈粉了！家人也觉得超值的，味道超赞！粉要稍微煮久一点才行。,口味:螺蛳粉3袋装
拿***8,2020-04-07 09:17:40,这个螺蛳粉真的是等了我好久，下单后一个月发出。不过等待是值得的，收到后立刻吃了一包，真的很臭，吃起来超级香哈哈哈  料包很足，觉得粉有些少。但是好吃呀，可以回购，减肥的我在考虑要不要继续吃第三包了。,口味:螺蛳粉3袋装
茉***儿,2020-04-01 11:35:05,包装品质：包装特别好，特别是包装袋的图腾和色彩搭配，看上去就很有食欲 #柒家美拍达人#   口感味道：这是我买的所有方便螺蛳粉里最好吃的一款，子柒果然是最棒的女孩子 烹饪方式就是按照说明书操作的，这个方法很好，粉条很弹牙，并且不易断。料包是真的太足啦，我自己又加了笋片和葱花，味道绝了，辣度对我重庆妹儿的我，是微微辣，正好！不会抢了螺蛳粉爽口的口感！汤我都是差点喝完哈哈。,口味:螺蛳粉3袋装
1***l,2020-04-10 18:08:19,在别人那试了味道，觉得很不错，就在直播间下的单。真的等了整整一个月，刚刚才到，开了箱有点失望，明明说的拍三发四，咋只有三袋，不送就不要做活动啊！,口味:螺蛳粉3袋装
粥***1,2020-04-08 14:04:34,整体评价：颜值一绝。料包量足，粉量够。咸淡合适，辣油很辣。值得推荐。 胀包问题：商品生产日期新鲜。 包装品质：包装高大上！送了中国风鼠标垫！有心意！ 口感味道：口感清爽。辣！本人不太能吃辣，辣得没有吃完全部。粉条煮过后有夹生和容易断的情况。 新鲜度：食材都很新鲜，花生米也很新鲜。,口味:螺蛳粉3袋装
z***e,2020-04-13 08:55:26,整体评价：作为螺狮粉爱好者，100分满分的话，真的可以给到满分，最惊艳的是汤底，比许多堂食的都好吃，份量的话女生一包足够 胀包问题：没有胀包喔，日期都很新鲜 包装品质：包装太喜欢了，特别有辨识度，符合我的审美 口感味道：本身的配料就很足，花生很脆，正常的辣油就是微辣水准吧，煮的时候加一些爱吃的青菜，油麦菜，空心菜都很好～我会自己调一个酸汁，再加一些香葱～ 新鲜度：喜欢喜欢！以后会囤～ 还有赠品哦，谢谢认真宠粉的小柒😘😘😘,口味:螺蛳粉3袋装
我***宝,2020-03-31 13:48:30,虽然等了一个多月才等到发货，不过发货之后两天就收到了，快递也是很给力啊。红色的李子柒的外包装盒，姜黄色的螺蛳粉袋子，颜色很有冲击力，也很绚烂多彩。里面是一袋子干米粉，七种作料，很实在。按照包装袋后面的指示操作，米粉劲道，汤味浓鲜，配料十足，酸辣适口。没有传统的螺狮粉那么味道重，辣油非常香。物超所值，值得等待！,口味:螺蛳粉3袋装
t***6,2020-04-13 17:10:20,整体评价：料很足，整体味道不错，酸笋的味道不是很明显，算是螺蛳粉里面的小清新了吧，但是男朋友还是问了我 是不是用洗脚水煮的😂 包装品质：包装精美，很有特色 口感味道：汤底和蔬菜口感都不错，就是觉得米粉口感一般，煮了很久还是有点硬，和店里的米粉口感相比还是差了些,口味:螺蛳粉3袋装
杨***2,2020-04-09 16:28:57,整体评价：味道蛮好的，包装非常精致，辣包还贴心的设计了微辣中辣特辣三个等级，可以自行调料 胀包问题：没有胀包 包装品质：要说一下我特别喜欢这个包装，设计的非常高级感觉，很大气，是所有我吃过的螺狮粉我最喜欢的包装。 口感味道：粉的味道挺好的，很顺滑，汤也不咸，味道鲜美，最喜欢里面的腐竹。 新鲜度：汤很鲜美，粉的品质也很好，值得购买！,口味:螺蛳粉3袋装
t***2,2020-04-09 17:47:03,李子柒家的螺蛳粉是我的最爱，趁着做活动，看我囤了好多😂，味道辣度香味都适合我的口味，真是吃了一口就停不下来，爱死她家这个味道了😋,口味:螺蛳粉3袋装
l***8,2020-04-12 15:41:35,整体评价：有和朋友推荐，等待那么久很值得，就是一份量太大😂 胀包问题：包装如图一样，没有漏气，很好 包装品质：OK 口感味道：问起来只有一丢丢臭，吃起来不臭的，很香，很好吃，很合我口味，各位按照包装袋说明煮的话就不会有那么多的问题了 新鲜度：完全OK，花生米腐竹都特别好吃，酱料味道也很好,口味:螺蛳粉3袋装
香***嘻,2020-04-08 12:27:05,第一次吃李子柒的螺蛳粉，好吃！！ 首先吃过蛮多说不上的小牌子之后我一直以为好欢螺是最好吃的，直到听说了李子柒，这是个很火的牌子了，据说是我们地道的柳州风味，吃过之后我莫名的觉得李子柒会更加适合我的口味。 配料：米粉、汤底包、红油、醋、酸笋、腐竹、花生、咸菜(真的很大一包料很足) 煮法： 1.水烧开之后先放粉进去煮8分钟左右，感觉粉有点熟了就可以捞起来了 2.再倒入冷水放入粉，等水水开了之后，再依次放入调味包，煮两分钟左右 吃粉! ! 煮完第一次捞起来之后可以过一下冷水，这样会更佳Q弹筋道 味道： 很浓郁的螺蛳粉味，粉也蛮Q弹的，加上酸笋的臭，简直了~但是!煮的时候记得放多点水，不然会咸，因为我)不能吃辣，红油就放了半包这样，我觉得刚好，而且由于配料实在太多我经常吃不完 讲完了我要去嗦粉了~ 886,口味:螺蛳粉3袋装
尘***戈,2020-04-10 21:41:19,包装品质：清新 质量好 口感味道：香辣中带点酸 米粉也是很软糯的 煮出来的水也是纯白 油是那种很香的辣油很喜欢 食材真材实料 木耳 笋 豇豆 腐竹 花生米儿 还有一个像是萝卜制成的咸菜 整体评价：螺狮粉很好吃😋 新鲜度：配菜的新鲜度很高,口味:螺蛳粉3袋装
t***4,2020-04-09 16:04:53,整体评价：不错 胀包问题：没有 包装品质：真的很好 口感味道：还没来得及煮，希望可以好吃,口味:螺蛳粉3袋装
黑***果,2020-04-10 14:25:15,李子柒螺蛳粉个人评测（仅供参考）  味道：★★★★☆ 口感：★★★★ 食材：★★★★ 回味：★★★★  整体上来说，汤汁比较浓郁（水+螺蛳+猪骨+生姜+香辛料+含抗氧化剂特丁基对苯二酚的植物油+多晶体冰糖+味精+鸡精+白砂糖+食用盐+螺肉粉+辣椒粉+鲜味剂5&apos;-呈味核苷酸二钠+防腐剂脱氢乙酸钠+抗结剂二氧化硅+食用香精），吃起来有一股微微的酸笋臭味（竹笋微辣爽脆），同时嘴里回味着浓浓的螺蛳鲜味（螺蛳和螺肉粉）。  美中不足的是含抗氧化剂特丁基对苯二酚的辣椒油中辣椒量不足或植物油量较多使其油腻感略重（不明白辣椒油中为啥要加香辛料），香醋包的颜色较浅味道较淡且甜味较轻（不明白香醋包为啥要加蒜和辣椒和味精），干米粉中添加了35%的玉米淀粉（大米比例为65%）使煮熟的米粉吃起来口感更加富有弹性和韧性且不易煮熟，菜包（腌制的酸豆角和黑木耳和萝卜丁）的味道不是很好，花生包（花生选用大粒花生且油炸后口感很棒）和腐竹包（炸干豆皮浸润汤汁后味道和口感都很棒）还可以。  总之，李子柒螺蛳粉虽然有一些食品添加剂的存在，但是汤的味道以及米粉和各食材的口感还是蛮不错的，值得一试！,口味:螺蛳粉3袋装
s***4,2020-04-04 11:07:03,此用户没有填写评论!,口味:螺蛳粉3袋装
苇***6,2020-04-13 19:26:44,虽然我是子柒的粉，但是说句老实话，不好吃，口味这东西因人而异吧，我个人是觉得不好吃。味道偏甜，味精味道很重，分量是很足的，这是优点。但是吃不完，显得鸡肋。然后要吐槽的是粉超级难煮，按照说明一步不差的煮了，还是很硬，最后自己又闷了好久才软下来。盐也很重。吃完一包连续喝了***！总之不会再买！,口味:螺蛳粉3袋装
巴***x,2020-04-04 14:26:38,这个是我等了好几个月的螺狮粉哈哈哈哈哈哈 这个腐竹就是一包，味道非常正宗，辣椒油也很辣 喝口汤差点把我辣哭了😂 送了一个鼠标垫 吃了螺狮粉后想在家囤螺狮粉😂,口味:螺蛳粉3袋装
e***l,2020-04-02 12:57:00,包装品质：挺严实的 口感味道：很不错 整体评价：非常满意 新鲜度：日期非常新鲜  一出厂就发货了 胀包问题：没有发现,口味:螺蛳粉3袋装
y***5,2020-04-13 13:54:38,非常棒的一次购物体验，迫不及待想要试一下了。,口味:螺蛳粉3袋装
罗***n,2020-04-10 23:01:39,整体评价：味道鲜美，配料相当足 胀包问题：没有胀包，密封性很好 包装品质：包装精美，非常大一包，漫画风格 口感味道：米粉很劲道，但是含胶量比较少，不难嚼，很好消化；汤底鲜美，很正宗，是我喜欢的螺蛳粉味道，配料味道都很好，很下饭 新鲜度：生产日期都很新鲜啦,口味:螺蛳粉3袋装
h***c,2020-04-06 20:31:05,好吃，感觉比柳州那边的更清爽，我不是很喜欢那个浓郁的螺丝味，这个还不错，配菜脆脆的，我个人觉得有点咸，我喜欢吃干捞,口味:螺蛳粉3袋装
s***g,2020-04-03 14:10:38,李子柒的螺丝粉，真的好好吃，买了两箱了，孩子也超级喜欢吃，粉很劲道，味道很好，一袋吃的饱饱的，以后认准李子柒家的螺蛳粉就对了，真的是太赞了,口味:螺蛳粉3袋装
小***e,2020-04-09 13:08:18,等了一个多月螺蛳粉终于收到了！感觉李子柒螺蛳粉应该算是螺蛳粉里的小清新，味道没有那么咸，就是螺蛳粉有点太少了，但是感觉是我吃过的速食螺蛳粉里量最小的；外包装很有设计感，是我吃过的螺蛳粉里最文艺的，还送了很有设计感的鼠标垫；辣椒油很香；花生米和腐竹分开放的，很脆；腐竹块小数量多，汤料不多也没有螺蛳粉；酸笋没有特别&ldquo;臭&rdquo;。整体味道没有特别惊艳，吃完后厨房里也没有久久不能散去的螺蛳粉的特殊味道，更适合喜欢清淡一点口味的朋友们。,口味:螺蛳粉3袋装
你***吧,2020-04-08 10:56:00,整体评价：真的很好吃！分量很足！！！ 胀包问题：没有胀包问题 包装品质：挺好的都，一大箱子那么沉，收到货的时候我都惊呆了！ 口感味道：很好吃阿！就是有一种臭臭的味道！可是吃的不就是这个味嘛😂 新鲜度：挺新鲜！ 然后就是我等了好长好长时间，得有一个多月了吧！我都想过要退款了，😂😂😂😂最后还是等到了！没有白等这么久！会回购的！,口味:螺蛳粉3袋装
t***4,2020-03-31 16:42:47,包装品质：非常中国风，也是柒家的特色 口感味道：不是很辣，对于不吃辣的本广东人来说可以接受。我一份两个人吃，非常饱！！！附上吃完后五个月的孕肚照。谁能想到我是个母胎solo王呢？ 整体评价：非常好，期待更多新视频，子柒的视频太上头了 新鲜度：挺好滴，不亏等了快两个月 胀包问题：无,口味:螺蛳粉3袋装
拥***狗,2020-04-13 22:38:52,此用户没有填写评论!,口味:螺蛳粉3袋装
